"Domain","Available","Premium","Price"
"countdowntocollege.college","available","","$5.00"
"countdowntocollege.com","taken","",""
"countdowntocollege.co","taken","",""
"countdowntocollege.org","taken","",""
"collegecountdown.college","available","","$5.00"
"collegecountdown.com","taken","",""
"collegecountdown.co","taken","",""
"collegecountdown.org","taken","",""
"mycollegecountdown.college","available","","$5.00"
"mycollegecountdown.com","taken","",""
"mycollegecountdown.co","available","","$19.98"
"mycollegecountdown.org","available","","$8.48"
"countdowntocampus.college","available","","$5.00"
"countdowntocampus.com","taken","",""
"countdowntocampus.co","available","","$19.98"
"countdowntocampus.org","available","","$8.48"
"c2college.college","available","","$5.00"
"c2college.com","taken","",""
"c2college.co","available","","$19.98"
"c2college.org","available","","$8.48"
"countdown2college.college","available","","$5.00"
"countdown2college.com","taken","",""
"countdown2college.co","available","","$19.98"
"countdown2college.org","available","","$8.48"
"countdownu.college","available","","$5.00"
"countdownu.com","taken","",""
"countdownu.co","available","","$19.98"
"countdownu.org","available","","$8.48"
"collegecd.college","available","","$5.00"
"collegecd.com","available","","$10.98"
"collegecd.co","available","","$19.98"
"collegecd.org","available","","$8.48"
"acceptancecountdown.college","available","","$5.00"
"acceptancecountdown.com","available","","$10.98"
"acceptancecountdown.co","available","","$19.98"
"acceptancecountdown.org","available","","$8.48"
"campusclock.college","available","","$5.00"
"campusclock.com","available","premium","$2,500.00"
"campusclock.co","available","","$19.98"
"campusclock.org","available","","$8.48"
"nextstopcollege.college","available","","$5.00"
"nextstopcollege.com","taken","",""
"nextstopcollege.co","available","","$19.98"
"nextstopcollege.org","taken","",""
"collegeboundclock.college","available","","$5.00"
"collegeboundclock.com","available","","$10.98"
"collegeboundclock.co","available","","$19.98"
"collegeboundclock.org","available","","$8.48"
"thecollegecountdown.college","available","","$5.00"
"thecollegecountdown.com","taken","",""
"thecollegecountdown.co","available","","$19.98"
"thecollegecountdown.org","available","","$8.48"
"readysetcollege.college","available","","$5.00"
"readysetcollege.com","available","premium","$2,450.00"
"readysetcollege.co","available","","$19.98"
"readysetcollege.org","taken","",""
"gettocollege.college","available","","$5.00"
"gettocollege.com","taken","",""
"gettocollege.co","available","","$19.98"
"gettocollege.org","taken","",""
"collegeprepclock.college","available","","$5.00"
"collegeprepclock.com","available","","$10.98"
"collegeprepclock.co","available","","$19.98"
"collegeprepclock.org","available","","$8.48"
"countdown.college","taken","",""
"countdown.com","taken","",""
"countdown.co","taken","",""
"countdown.org","taken","",""
"to.college","available","premium","$3,250.00"
"to.com","taken","",""
"to.co","taken","",""
"to.org","taken","",""
"college.college","taken","",""
"college.com","taken","",""
"college.co","taken","",""
"college.org","taken","",""
